Beta_1,Beta_2,Category,RMSE,MAE,Polls
0.1,0.01,Overall,11.349628419426647,10.960289531310254,7088
0.1,0.01,Category A,11.358347140468164,10.974987995691999,2360
0.1,0.01,Category B,11.351347597871124,10.961343579582241,2362
0.1,0.01,Category C,11.33918223356937,10.944537018656519,2366
0.1,0.05,Overall,9.7193010856412,9.405879344658812,2681
0.1,0.05,Category A,9.792861362405867,9.485145906505414,893
0.1,0.05,Category B,9.767844528040905,9.453286756261784,896
0.1,0.05,Category C,9.596015860384885,9.279205371209247,892
0.1,0.1,Overall,9.456079030475479,9.147708624413488,1709
0.1,0.1,Category A,9.497344683288578,9.195594093700587,568
0.1,0.1,Category B,9.469728746834097,9.162313947946048,571
0.1,0.1,Category C,9.400902792816673,9.08521783159382,570
0.1,0.2,Overall,9.904016927549943,9.613563102254599,1060
0.1,0.2,Category A,9.940898623274968,9.649736927679692,352
0.1,0.2,Category B,9.846372846111722,9.557471700371273,352
0.1,0.2,Category C,9.924521663068257,9.633480678712827,356
0.1,0.3,Overall,9.095574082260946,8.788033125909989,822
0.1,0.3,Category A,9.208171009327112,8.904615128432303,273
0.1,0.3,Category B,9.059472122577967,8.7520911658455,274
0.1,0.3,Category C,9.017979550925553,8.707393083452168,275
0.3,0.01,Overall,3.5142665750559874,2.897142446617455,7172
0.3,0.01,Category A,3.479601186547912,2.90211251847067,2389
0.3,0.01,Category B,3.521616091018421,2.9054142159734906,2392
0.3,0.01,Category C,3.54129981387085,2.8839006054082046,2391
0.3,0.05,Overall,4.139757985542347,3.4886477520414725,2339
0.3,0.05,Category A,3.9936111677652177,3.349064229187311,779
0.3,0.05,Category B,4.235777399638681,3.583551787091668,783
0.3,0.05,Category C,4.18593456685553,3.5333272398454394,777
0.3,0.1,Overall,3.389317187462503,2.741227103851175,1434
0.3,0.1,Category A,3.4526617517256906,2.7999751578576495,478
0.3,0.1,Category B,3.4002226643767703,2.7511433525952453,482
0.3,0.1,Category C,3.3136121759365884,2.672562801100629,474
0.3,0.2,Overall,3.471958824057302,2.830911416121626,827
0.3,0.2,Category A,3.5397389415652407,2.898699931912525,275
0.3,0.2,Category B,3.427079043664257,2.78773422625774,277
0.3,0.2,Category C,3.4480243157338615,2.8063000901946134,275
0.3,0.3,Overall,3.1897571955430344,2.5902235917953793,567
0.3,0.3,Category A,3.2032180275066673,2.6003128246300657,190
0.3,0.3,Category B,3.1515780419185897,2.555484869209818,189
0.3,0.3,Category C,3.2141255441423846,2.6148730815462518,188
0.5,0.01,Overall,2.4308164043444362,1.9148919090436196,6949
