M,Category,RMSE,MAE,Polls
1,Overall,15.806678963953324,12.774984923602753,1879
1,Category A,12.650375340346026,10.663271675242566,550
1,Category B,15.400961501462684,12.581745428939012,565
1,Category C,18.770500477805143,15.079937666626694,764
2,Overall,10.50814936569644,7.880349857121521,4235
2,Category A,5.017524162369412,4.306152822830328,1243
2,Category B,9.735723346084852,7.837006771088692,1277
2,Category C,14.536290843399385,11.497889977445544,1715
5,Overall,9.211991388553747,5.995095192229066,17909
5,Category A,1.1516403662097594,0.9570567415048029,5310
5,Category B,8.396196963130546,6.647902045675637,5376
5,Category C,13.518874104436318,10.38032678950676,7223
10,Overall,8.603554853651582,5.1448829491982035,45906
10,Category A,0.4799271052159983,0.3682235760517139,13366
10,Category B,7.968029656306124,6.030502093160655,13558
10,Category C,12.58346699957052,9.035923178382243,18982
